,DATETIME,HE,MW,chg_1h,chg_1d,chg_1w,mean_24h,mean_36h,mean_48h,Year,Month,Day,Weekdays,Dayofyear,lag_1h,lag_1d,lag_3d,lag_1w,lag_1m,pred
10966,2024-04-03 00:00:00,1,1065.16476,-0.011868389465385692,-0.21801046956522996,-0.6224742369218058,540.7113570833334,803.7657991666667,669.5676297916667,2024,4,3,2,94,1077.95839,1362.12151,665.7374,2821.43595,3219.70229,1163.77258
10967,2024-04-03 01:00:00,2,983.46228,-0.07670407721712455,-0.2794357569955807,-0.6149420900611896,524.8201920833334,820.5611966666667,683.9959745833333,2024,4,3,2,94,1065.16476,1364.85024,676.4633,2554.06331,3102.37285,1191.27955
10968,2024-04-03 02:00:00,3,857.65365,-0.1279242046781906,-0.013232261471386512,-0.5390163153667743,524.3409887500001,833.0002766666667,698.694260625,2024,4,3,2,94,983.46228,869.15453,598.43935,1860.48591,2756.55886,1279.25204
10969,2024-04-03 03:00:00,4,794.92472,-0.07314016561347345,0.08309008732113318,-0.5095186639035041,526.8819579166667,839.9219330555555,712.0047504166668,2024,4,3,2,94,857.65365,733.94146,562.09918,1620.7033,2501.98302,1247.66956
10970,2024-04-03 04:00:00,5,598.23997,-0.24742563044208765,0.1298339289085429,-0.6864955367378104,529.746385,831.9762166666667,720.616958125,2024,4,3,2,94,794.92472,529.49372,591.44991,1908.2343,2483.03486,1222.43105
10971,2024-04-03 05:00:00,6,429.48724,-0.2820820046510767,0.02852745767352056,-0.7499359974338654,530.2427329166667,809.1568866666667,725.649149375,2024,4,3,2,94,598.23997,417.57489,523.18664,1717.50926,2328.66316,1337.3297
10972,2024-04-03 06:00:00,7,196.02249,-0.5435894905748538,-0.42753570832809606,-0.8792455615776701,524.14289,772.0254027777778,724.7474445833333,2024,4,3,2,94,429.48724,342.41872,444.2356,1623.31499,2244.48458,1362.62843
10973,2024-04-03 07:00:00,8,107.95512,-0.4492717646837361,-0.5670982352881734,-0.921144398722052,518.2503716666666,719.7104100000001,722.3565868750001,2024,4,3,2,94,196.02249,249.37556,397.13711,1369.02285,2381.85336,1490.19619
10974,2024-04-03 08:00:00,9,80.02066,-0.2587599365365903,-0.6481880758196364,-0.8750087588428387,512.1073595833334,659.0834963888889,719.6694672916668,2024,4,3,2,94,107.95512,227.45295,380.11591,640.21014,2214.34691,1421.01982
10975,2024-04-03 09:00:00,10,76.02074,-0.04998609109197553,-0.6730554980094297,-0.700659562394686,505.58660750000007,602.280716111111,715.0027156250002,2024,4,3,2,94,80.02066,232.51879,323.083,253.96081,2047.20731,1629.93188
10976,2024-04-03 10:00:00,11,77.58978,0.020639630711303272,-0.7472918231101582,-0.6062568346400375,496.0264683333333,555.3710147222222,708.8885452083333,2024,4,3,2,94,76.02074,307.03312,326.16885,197.05683,1965.11967,1771.13465
10977,2024-04-03 11:00:00,12,108.07073,0.39284748584156304,-0.6983778941376357,-0.40943529892907793,485.60031375,518.0178183333334,702.3367885416666,2024,4,3,2,94,77.58978,358.29844,388.00714,182.99558,1749.58927,2120.3907
10978,2024-04-03 12:00:00,13,202.11526,0.8702127763919056,-0.3209550648979861,0.028889713793757932,481.6198508333334,485.79542250000003,696.8152377083334,2024,4,3,2,94,108.07073,297.64637,560.87335,196.44016,1844.22576,2199.97261
10979,2024-04-03 13:00:00,14,353.24731,0.7477518026100554,0.7688447115271471,0.3756415084809676,488.01744291666665,457.6953411111111,696.2823072916667,2024,4,3,2,94,202.11526,199.7051,534.48607,256.78733,2063.35508,2331.94152
